Name,Tags,Servings,Ingredients,Instructions
Mango Peach Green Smoothie,"['Smoothie', 'Drink', 'Blender']",3,"{'Mango': 1, 'Banana': 2, 'Peach': '250g', 'Kale': '25g', 'Soy Milk': '480ml', 'Flax Seeds': '1 tsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Blueberry and Vanilla Smoothie,"['', '', '']",1,"{'Blueberries': '75g', 'Banana': 1, 'Soy Milk': '240ml', 'Almond Butter': '1 tbsp', 'Vanilla Extract': '1/2 tsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Orange Creamsicle Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Orange': 1, 'Banana': 1, 'Soy Milk': '180ml', 'Almond Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Ruby Red Smoothie,"['Smoothie', 'Drink', 'Blender']",4,"{'Spinach': '60g', 'Beetroot (small)': 2, 'Orange': 2, 'Banana': 3, 'Soy Milk': '480ml', 'Hemp Seeds': '2 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Cold Busting Green Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Spinach': '15g', 'Cucumber': '1/4', 'Orange': 1, 'Banana': 1, 'Apple': 2, 'Parsley (fresh)': '4 tbsp', 'Soy Milk': '240ml', 'Ginger': '1 tbsp', 'Chia Seeds': '1.5 tsp'}",",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings"
,"['Smoothie', 'Drink', 'Blender']",0,{'Item1': 0},1. Stuff
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter and Banana Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Spinach': '15g', 'Banana': 1, 'Soy Milk': '180ml', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
