Name,Tag,Servings,Ingredients,Instructions
Coconut and Citrus Green,"['Smoothie', 'Drink', 'Blender']",2,"{'Orange': 2, 'Dates': 2, 'Banana': 1, 'Avocado': 1, 'Coconut Water': '120ml', 'Soy Milk': '120ml', 'Coconut Yogurt': '120ml', 'Mint': '5 leaves', 'Spinach': '45g'}",
Coconut and Citrus Green,"['Smoothie', 'Drink', 'Blender']",2,"{'Orange': 2, 'Dates': 2, 'Banana': 1, 'Avocado': 1, 'Coconut Water': '120ml', 'Soy Milk': '120ml', 'Coconut Yogurt': '120ml', 'Mint': '5 leaves', 'Spinach': '45g'}",
"Cardamom, Avocado and Blueberry Smoothie","['Smoothie', 'Drink', 'Blender']",4,"{'Blueberries': '300g', 'Pineapple': '150g', 'Banana': 2, 'Avocado': 1, 'Oat Milk': '480ml', 'Soy Yogurt': '240ml', 'Cardamom Pods (seeds)': 4, 'Vanilla Extract': '1 tsp', 'Cinnamon': '1/4 tsp'}",
Salted Caramel Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Banana': 1, 'Dates': 1.5, 'Cashew Milk': '120ml', 'Tahini': '1.5 tbsp', 'Flax Seeds': '1 tbsp', 'Vanilla Extract': '1 tsp', 'Cinnamon': '1/2 tsp', 'Salt': '1 pinch'}",
Extraordinary Green Smoothie,"['Smoothie', 'Drink', 'Blender']",4,"{'Spinach': '120g', 'Pineapple': '300g', 'Soy Milk': '360ml', 'Cucumber': '100g', 'Avocado': 1, 'Vanilla Extract': '2 tbsp', 'Almond Butter': '4 tbsp', 'Maple Syrup': '2 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Raspberry Lemonade Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Raspberries': '225g', 'Lemon': 1, 'Soy Milk': '60ml', 'Soy Yogurt': '120g', 'Banana': 1, 'Cashews': '70g', 'Agave Syrup': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Sweet n Spicy Golden Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Pineapple': '300g', 'Banana': 1, 'Soy Yogurt': '240g', 'Flax (ground)': '1 tbsp', 'Ginger': '1.5 tsp', 'Turmeric': '1/2 tsp', 'Cayenne': '1/4 tsp', 'Black Pepper': '1 pinch'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Mango Spinach Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Mango': '150g', 'Spinach': '30g', 'Soy Yogurt': '120g', 'Soy Milk': '60ml', 'Flax (ground)': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Immune Booster Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Banana': 2, 'Orange': 1, 'Raspberries': '75g', 'Spinach': '30g', 'Beetroot': '1/4', 'Soy Milk': '240ml', 'Coconut Yogurt': '60ml', 'Ginger': '1 tbsp', 'Peanut Butter': '1 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Pink Sunrise Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Orange (peeled)': 1, 'Strawberries': '150g', 'Raspberrie': '150g', 'Carrot': 1, 'Beetroot': 1, 'Zucchini': '75g', 'Coconut Milk': '360ml', 'Cashews': '70g'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Tropical Matcha Green Smoothie,"['Smoothie', 'Drink', 'Blender']",3,"{'Banana': 2, 'Pineapple': '165g', 'Spinach': '30g', 'Dates': 4, 'Hemp Seeds': '2 tbsp', 'Matcha powder': '1.5 tsp', 'Coconut Milk (canned) (light)': '360ml', 'Soy Milk': '240g'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Orange and Ginger Sunrise Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Orange': 1, 'Mango': '113g', 'Raspberries': '75g', 'Carrot': 1, 'Ginger': '1 tbsp', 'Hemp Seeds': '2 tbsp', 'Soy Yogurt': '360ml', 'Soy Milk': '180g'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Blueberry Anti-Inflammatory Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Blueberries': '120g', 'Apple': 1, 'Ginger': '1 tbsp', 'Goji Berries': '2 tbsp', 'Nettle Leaf Powder': '1 tsp', 'Beetroot': 1, 'Flax Seeds': '2 tbsp', 'Pumpkin Seeds': '1 tbsp', 'Coconut Water': '360ml'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanutbutter Jelly Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Strawberries': '113g', 'Banana': 1, 'Peanut Butter': '1.5 tbsp', 'Soy Milk': '180ml'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Peanut Butter Jelly Smoothie,"['Smoothie', 'Drink', 'Blender']",1,"{'Strawberries': '113g', 'Banana': 1, 'Peanut Butter': '1.5 tbsp', 'Soy Milk': '180ml'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
"Strawberry, Pineapple and Mint Smoothie","['Smoothie', 'Drink', 'Blender']",2,"{'Strawberries': '150g', 'Pineapple': '150g', 'Cucumber': '1/4', 'Orange': 1, 'Mint Leaves': 6, 'Coconut Water': '240ml'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Chocolate Hazelnut Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Cinnoman': '1/8 tsp', 'Vanilla Extract': '1/8 tsp', 'Cocoa Powder': '1 tbsp', 'Banana': 1, 'Dates': 2, 'Hazelnut Butter': '1 tbsp', 'Soy Milk': '180ml', 'Salt': '1 pinch'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Cold Busting Green Smoothie,"['Smoothie', 'Drink', 'Blender']",2,"{'Spinach': '15g', 'Cucumber': '1/4', 'Orange': 1, 'Banana': 1, 'Apple': 2, 'Parsley (fresh)': '4 tbsp', 'Soy Milk': '240ml', 'Ginger': '1 tbsp', 'Chia Seeds': '1.5 tsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
Ruby Red Smoothie,"['Smoothie', 'Drink', 'Blender']",4,"{'Spinach': '60g', 'Beetroot (small)': 2, 'Orange': 2, 'Banana': 3, 'Soy Milk': '480ml', 'Hemp Seeds': '2 tbsp'}",1. Add all ingredients to a blender 2.Blend until smooth 3. Drink in a tall glass or add to a bowl with toppings
